Beschreibung der Aufgabe,Datum,Stunden
Kickoffmeeting,16.02.2015,2
Besprechungsmeeting,20.02.2015,1
Planungsmeeting,23.02.2015,1.5
Meeting und Erweiterung NFA,24.02.2015,2
"Meeting: Review NFA, FA",03.03.2015,3.75
"Statusmeeting",06.03.2015,0.25
"Datenmodell-Erstentwurf",08.03.2015,0.5
"Sprintwechsel",10.03.2015,2
"Daily-Scrum",12.03.2015,0.25
"API-Design",12.03.2015,1.5
"API-Design",13.03.2015,0.5
"Daily Scrum",14.03.2015,0.5
"Klassendiagramme Backend, API",16.03.2015,1.5 
"Sprintwechsel Teil 1",17.03.2015,1
