Beschreibung der Aufgabe,Datum,Stunden
Kickoffmeeting,16.02.2015,2
Besprechungsmeeting,20.02.2015,1
Planungsmeeting,23.02.2015,1.5
Meeting und Erweiterung NFA,24.02.2015,1.5
"Meeting: Review NFA, FA, Usecase-Diagramm",03.03.2015,3.75
Meeting und Anpassungen FA,05.03.2015,1
Anpassungen FA, 06.03.2015,1
Sprintwechsel,10.03.2015,2
Vorbereitung HW-Plan,11.03.2015,1.5
Scrum-Meeting Daily und Arbeit an HW-Plan, 12.03.15, 2.5
dev-stories, 13.03.15, 1
Ausbau HW-Plan, 15.03.15, 2
Design HW-Plan, 16.03.15, 1
Sprintreview, 17.03.15, 1
HW-Plan angepasst, 17.03.15, 0.25
Sprintwechsel, 18.03.15, 0.75
After-Vorlesung, 18.03.15, 0.75
Planung Web-Layout, 19.03.15, 1.5
Scrum Daily, 20.03.15, 0.25
HW-Plan/Styleguide, 20.03.15, 0.5
